Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_7.6_5.0",82.488000,-10.308000,90.000000,bottom
"C13","1000p","C_Disc_D10.5mm_W5.0mm_P10.00mm",91.088000,-48.308000,180.000000,bottom
"C14","1000p","C_Disc_D10.5mm_W5.0mm_P10.00mm",104.088000,-48.308000,180.000000,bottom
"F1","Fuse","20mmFuse_P5x2",64.488000,-52.308000,0.000000,bottom
"J1","SERVICE","PinHeader_1x10_P2.54mm_Vertical",167.092044,-16.920543,65.000000,bottom
"J2","Conn_01x04_Male","JST_NV_B04P-NV_1x04_P5.00mm_Vertical",70.488000,-63.308000,0.000000,bottom
"J5","Conn_01x03_Male","JST_VH_B3P-VH_1x03_P3.96mm_Vertical",54.488000,-63.308000,0.000000,bottom
"J6","Conn_01x02_Male","JST_NV_B02P-NV_1x02_P5.00mm_Vertical",16.488000,-58.308000,-25.000000,bottom
"J7","Conn_01x02_Male","JST_NV_B02P-NV_1x02_P5.00mm_Vertical",6.488000,-53.808000,-25.000000,bottom
"J8","Conn_01x02_Male","JST_NV_B02P-NV_1x02_P5.00mm_Vertical",-3.512000,-49.308000,-25.000000,bottom
"M1","Fan_CPU_4pin","FanPinHeader_1x03_P2.54mm_Vertical",125.988000,-67.808000,180.000000,bottom
"M2","Fan_CPU_4pin","FanPinHeader_1x03_P2.54mm_Vertical",114.488000,-67.808000,180.000000,bottom
"PS1","IRM-20-12","Converter_ACDC_MeanWell_IRM-20-xx_THT",57.488000,-39.308000,0.000000,bottom
"R23","1MΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",91.088000,-54.108000,180.000000,bottom
"R24","1MΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",104.248000,-54.108000,180.000000,bottom
"U4","DHT11","Aosong_DHT11_5.5x12.0_P2.54mm",59.488000,-5.308000,-90.000000,bottom
"U5","S108T02","SSR_SHARP_S108T02_NNC_NNG1D-25mm",16.488000,-37.308000,90.000000,bottom
"U6","S108T02","SSR_SHARP_S108T02_NNC_NNG1D-25mm",9.988000,-33.808000,90.000000,bottom
"U7","S108T02","SSR_SHARP_S108T02_NNC_NNG1D-25mm",2.988000,-29.808000,90.000000,bottom
"U8","S108T02","SSR_SHARP_S108T02_NNC_NNG1D-25mm",-4.012000,-26.808000,90.000000,bottom
"C1","0.1uF","R_0603_1608Metric",167.888000,-24.808000,90.000000,top
"C2","0.1uF","R_0603_1608Metric",171.188000,-33.208000,-90.000000,top
"C3","10u","C_0402_1005Metric",169.388000,-28.988000,90.000000,top
"C4","0.1uF","R_0603_1608Metric",131.888000,-27.108000,180.000000,top
"C5","0.1uF","R_0603_1608Metric",37.663000,-29.808000,180.000000,top
"C6","20p","C_0402_1005Metric",122.792000,-47.728000,0.000000,top
"C7","0.1uF","R_0603_1608Metric",37.663000,-26.708000,180.000000,top
"C8","0.1uF","R_0603_1608Metric",135.788000,-44.908000,0.000000,top
"C9","0.1uF","R_0603_1608Metric",139.388000,-44.908000,180.000000,top
"C10","10u","C_0402_1005Metric",112.488000,-50.308000,0.000000,top
"C11","10u","C_0402_1005Metric",112.488000,-52.808000,180.000000,top
"C12","0.1uF","R_0603_1608Metric",37.688000,-24.108000,0.000000,top
"C15","0.1uF","C_0603_1608Metric",134.988000,-17.933000,-90.000000,top
"C16","0.1uF","C_0603_1608Metric",102.588000,-22.608000,90.000000,top
"C17","0.1uF","C_0603_1608Metric",134.988000,-20.908000,90.000000,top
"C18","22uF","CP_Radial_D6.3mm_P2.50mm",137.388000,-15.108000,0.000000,top
"C19","220uF","CP_Radial_D5.0mm_P2.00mm",137.388000,-21.308000,0.000000,top
"D1","D_Schottky","D_SOD-123F",112.488000,-64.308000,0.000000,top
"J3","mode","PinHeader_2x01_P2.54mm_Vertical",146.488000,-37.808000,90.000000,top
"Q1","Q_NMOS_GDS","TO-252-2",117.288000,-57.508000,180.000000,top
"R1","103","R_0603_1608Metric",72.663000,-5.308000,180.000000,top
"R2","10k","R_0603_1608Metric",167.688000,-21.708000,-90.000000,top
"R3","10k","R_0603_1608Metric",140.588000,-9.908000,90.000000,top
"R5","270","R_0603_1608Metric",57.488000,-9.808000,-90.000000,top
"R6","270","R_0603_1608Metric",54.988000,-9.808000,-90.000000,top
"R7","270","R_0603_1608Metric",52.488000,-9.808000,-90.000000,top
"R8","270","R_0603_1608Metric",49.988000,-9.783000,-90.000000,top
"R9","1k","R_0603_1608Metric",122.847000,-50.128000,0.000000,top
"R10","100k","R_0603_1608Metric",117.563000,-49.558000,0.000000,top
"R11","270","R_0603_1608Metric",137.663000,-24.858000,0.000000,top
"R12","270","R_0603_1608Metric",145.088000,-23.508000,0.000000,top
"R13","270","R_0603_1608Metric",141.438000,-24.158000,0.000000,top
"R14","270","R_0603_1608Metric",61.688000,-10.508000,90.000000,top
"R15","270","R_0603_1608Metric",64.288000,-10.483000,90.000000,top
"R16","270","R_0603_1608Metric",66.888000,-10.508000,90.000000,top
"R17","10k","R_0603_1608Metric",142.788000,-9.908000,-90.000000,top
"R18","10k","R_0603_1608Metric",146.788000,-11.233000,-90.000000,top
"R20","10k","R_0603_1608Metric",144.688000,-10.233000,-90.000000,top
"R22","10k","R_0603_1608Metric",148.888000,-12.283000,-90.000000,top
"REF**","SolderWirePad_single_1-2mmDrill","SolderWirePad_single_1-2mmDrill",-6.436400,-6.187800,0.000000,top
"SW1","Rotary_Encoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",134.988000,-41.808000,90.000000,top
"SW2","Rotary_Encoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",24.988000,-41.808000,90.000000,top
"U1","CR2013-MI2120","TFT3.2_ILI9341",82.488000,-34.308000,180.000000,top
"U2","ESP-WROOM-32","ESP-WROOM-32",161.488000,-38.808000,-158.000000,top
"U9","TBD62783A","SOIC-18W_7.5x11.6mm_P1.27mm",109.988000,-5.808000,-90.000000,top
"U10","ROAM BP5293-33","Converter_DCDC_RECOM_R-78E-0.5_THT",132.888000,-17.028000,-90.000000,top
