Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","R_0603_1608Metric",169.238000,-26.483000,270.000000,top
"C2","0.1uF","R_0603_1608Metric",170.238000,-30.308000,90.000000,top
"C3","10u","C_0402_1005Metric",169.488000,-22.788000,270.000000,top
"C4","0.1uF","R_0603_1608Metric",131.888000,-27.108000,180.000000,top
"C5","0.1uF","R_0603_1608Metric",37.663000,-29.808000,180.000000,top
"C6","20p","C_0402_1005Metric",122.792000,-47.728000,0.000000,top
"C7","0.1uF","R_0603_1608Metric",37.663000,-26.708000,180.000000,top
"C8","0.1uF","R_0603_1608Metric",135.788000,-44.908000,0.000000,top
"C9","0.1uF","R_0603_1608Metric",139.388000,-44.908000,180.000000,top
"C10","10u","C_0402_1005Metric",117.008000,-48.840000,0.000000,top
"C11","10u","C_0402_1005Metric",117.008000,-50.618000,180.000000,top
"C12","0.1uF","R_0603_1608Metric",37.688000,-24.108000,0.000000,top
"D1","D_Schottky","D_SOD-123F",102.988000,-64.808000,0.000000,top
"R1","103","R_0603_1608Metric",72.663000,-5.308000,180.000000,top
"R2","10k","R_0603_1608Metric",168.238000,-22.483000,270.000000,top
"R3","10k","R_0603_1608Metric",137.938000,-11.308000,90.000000,top
"R4","NC","R_0603_1608Metric",122.488000,-16.908000,90.000000,top
"R5","270","R_0603_1608Metric",57.488000,-9.808000,270.000000,top
"R6","270","R_0603_1608Metric",54.988000,-9.808000,270.000000,top
"R7","270","R_0603_1608Metric",52.488000,-9.808000,270.000000,top
"R8","270","R_0603_1608Metric",49.988000,-9.783000,270.000000,top
"R9","1k","R_0603_1608Metric",122.847000,-50.128000,0.000000,top
"R10","100k","R_0603_1608Metric",118.163000,-45.308000,0.000000,top
"R11","270","R_0603_1608Metric",137.663000,-24.858000,0.000000,top
"R12","270","R_0603_1608Metric",145.088000,-23.508000,0.000000,top
"R13","270","R_0603_1608Metric",141.438000,-24.158000,0.000000,top
"R14","270","R_0603_1608Metric",61.688000,-10.508000,90.000000,top
"R15","270","R_0603_1608Metric",64.288000,-10.483000,90.000000,top
"R16","270","R_0603_1608Metric",66.888000,-10.508000,90.000000,top
"R17","10k","R_0603_1608Metric",140.388000,-11.258000,270.000000,top
"R18","10k","R_0603_1608Metric",145.188000,-11.258000,270.000000,top
"R19","10k","R_0603_1608Metric",126.238000,-4.058000,0.000000,top
"R20","10k","R_0603_1608Metric",142.788000,-11.308000,270.000000,top
"R21","10k","R_0603_1608Metric",130.288000,-4.008000,0.000000,top
"R22","10k","R_0603_1608Metric",122.288000,-4.058000,0.000000,top
"U2","ESP-WROOM-32","ESP-WROOM-32",161.488000,-38.808000,202.500000,top
